move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.38,56.62,D4,"D4 Q16 Q4 D16 R14 R6 F17 C6 O17 O16 N16 O15 P17 Q17",Q16,D4 Q4 Q16 D16 D3 D17 Q17 Q3 R16 R4 C4 C16 
1,W,43.40,56.60,D4,"D4 D16 Q4 R3 R4 Q3 P4 O3 P3 P2 S3 O4 G3 O6 S2 C14",D4,D4 D16 Q4 
2,B,43.52,56.48,D16,"D16 Q4 R3 R4 Q3 P4 O3 P3 P2 S3 C6 M3 F3 D6 D7 E6",C16,D16 Q4 C3 C16 Q3 F3 C6 D17 R4 
3,W,43.19,56.81,Q4,"Q4 C3 C4 D3 E4 F2 R14 F16 R17 R16 Q17 P16 S16 S15 S17 R3 R4 Q3 P4 P3 O4 O3",R4,Q4 R4 
4,B,43.85,56.15,P3,"P3 Q5 C6 F3 C4 C3 B3 C5 B4 D5",P4,P3 C3 E16 F16 F17 C6 
5,W,42.84,57.16,P3,"P3 O3 Q3 O4 R6 F16 R17 Q17 R16 R14 R15 Q15 S14 F3 C6 D3 C3",P3,P3 R17 E17 Q3 
6,B,42.80,57.20,O3,"O3 Q3 O4 R6 E16 K3 P7 C6 D7 D6 F7 K5 G4 K7 D3 E3",O3,O3 O4 
7,W,42.75,57.25,Q3,"Q3 O4 R6 E16 K3 P7 C6 D7 D6 F7 K5 G4 K7 D3 E3",Q3,Q3 P2 
8,B,42.76,57.24,O4,"O4 R6 E16 K3 P7 C6 D7 D6 F7 K5 G4 K7 D3 E3",C6,O4 N4 
9,W,38.72,61.28,O4,"O4 F3 F4 G4 F5 D3 C3 E3 D6 E4 D5 C2 B4 B3 C4 F16 R17 R16 Q17 O17 P17 P16",F3,O4 F3 E17 E16 
10,B,42.69,57.31,O4,"O4 R6 F16 K4 P7 C9 C11 D11 D12 E11 C10 D9 C4 C3 B3 C5 B4 D5 D3 C2 D2 B2 A2 B5 B1 R17 Q17 R16",N4,O4 N4 
11,W,40.47,59.53,R17,"R17 Q17 R16 R14 R15 Q15 S14 F16 C9 C11 D11 D12 D10 E4 D3 D5 C12 C13 B12 D13",R6,R17 E17 E16 R14 O5 M3 O17 
