move_num,color_next,winrate_B,winrate_W,LZ_next_move,variation,actual_next_move,LZ_all_next_moves
0,B,43.40,56.60,D4,"D4 Q16 Q4 D16 R14 R6 C14 C6 F17 F16 G16 F15 D17",R4,D4 D16 Q16 Q4 C4 C16 R16 Q3 Q17 R4 D3 D17 
1,W,43.10,56.90,Q16,"Q16 D4 D16 R17 R16 Q17 P16 O18 C6 O4 C3 C4 D3 E4",Q16,Q16 D16 D3 R16 D4 Q17 R17 C3 C17 C4 
2,B,43.35,56.65,C4,"C4 D16 P4 E3 D6 O4 P3 J4 C17 C16 D17 F17 F18 G18 E17",C3,C4 D4 D3 D16 P4 O3 O4 
3,W,42.88,57.12,D17,"C16 E17 D17 E16 C14 R14 O17 O4 J17 E13 H15 H13 K14 Q10 J12 P14 G11 E11 M3 K3 M5 N6 D4",C16,D17 C16 D16 P3 C17 
4,B,43.48,56.52,R17,"R17 R16 Q17 P16 O18 P3 Q5 M3 E17 D15 R11 S17 S18",E17,R17 E17 O4 P4 O3 R14 O17 
5,W,42.57,57.43,D15,"D15 H17 P4 P3 O3 Q3 O4 R6 G3 D6 K4 O17 P17 O16 R14",P3,D15 D17 P3 G16 P4 D14 
6,B,44.07,55.93,D15,"D15 C15 D14 C13 Q6 D13 R17 Q17 R16 R14 R15 Q15 S14 H17 E13 E12 F13 F12 G13",Q6,D15 Q5 Q6 N4 Q3 D14 R17 
7,W,42.58,57.42,G16,"G16 E15 D14 R14 O17 L3 G14 Q3 Q2 R2 D17 D18 C18 F13 E14 G17",D14,G16 D15 D14 D17 
8,B,43.15,56.85,R17,"R17 Q17 R16 Q15 S14 H17 R13 Q13 Q12 R14 S12",O17,R17 R14 M3 O17 L3 J16 D5 
9,W,41.98,58.02,R14,"R14 L3 R3 S3 Q4 R5 R2 Q17 R17 R18 P17 Q18 P16 P18 R8 N3",R14,R14 P17 K17 J17 M17 K16 
10,B,42.20,57.80,M3,"M3 F4 D6 J3 Q17 R17 R18 P17 Q18 P16 P18 S17 Q13 N18 O18 R13 Q11 M17 O16 J17",Q17,M3 C12 Q17 J16 L3 H16 D5 D6 L4 
11,W,41.52,58.48,R17,"R17 R18 P17 Q18 P16 P18 S17 M17 L4 R12 N15 P12 O16 N16 M15 K17 R8 O14 O15 P8",R17,R17 R3 
12,B,41.42,58.58,R18,"R18 P17 Q18 P16 R16 R8 P18 O16 N17 S17 S16 S15 S18 P8 R7 S8 Q3 N16",R18,R18 C17 
13,W,41.22,58.78,P17,"P17 Q18 P16 R16 R8 M3 P8 R7 R3 S3 Q4 R2 R5 Q3 S4 R3 Q5 P4 P5",P17,P17 S18 S17 S16 
14,B,41.22,58.78,Q18,"Q18 P16 R16 R8 N3 P8 N5 L3 P18 O16 N17 S17",Q18,Q18 P18 
15,W,41.04,58.96,P16,"P16 R16 R8 N3 P8 N5 L3 P18 O16 N17 S17 S16",P16,P16 O16 P18 
16,B,41.81,58.19,R16,"R16 R8 N3 P8 N5 L3 P18 O16 N17 S17 S16",P18,R16 P18 
17,W,40.89,59.11,S17,"S17 M17 R8 O16 P7 P6 Q4 R5 M3 Q2 P2 Q3 J3 R12 P14 Q13 Q14 R10",S17,S17 O16 D4 R8 
18,B,41.15,58.85,M17,"M17 R8 O16 P7 P6 Q4 R5 M3 Q2 P2 Q3 J3 R12 P14 Q13 Q14 R10 O7",O16,M17 J16 O16 Q13 H16 R12 H17 Q12 
19,W,40.84,59.16,N18,"N18 O18 J17 L17 D17 M3 J15 R12 P14 Q13 Q14 O12 L18 M17 M18 N14 L15 S18 S12 S11 S13 R11 T18",N18,N18 M17 
